Tweet,Type
@realdonaldtrump had troubles voting this morning #election2016 #donaldtrump,AbusiveDT
#donaldtrump is due to cast his vote soon the green crayon is having the point blunted so he can t injure himself,AbusiveDT
#americadecides #donaldtrump at last change we ve been waiting 4 a nonpolitician a govt outsider a businessman tired of zero being done,AbusiveDT
there are only five things that terrify global risk experts more  #donaldtrump,AbusiveDT
"dnc was secretly talking to gloria allred   the ""lawyer"" representing fake #trump victims  #drainthesw",AbusiveDT
#donaldtrump will unveil plan to dodge 2019 doomsday in #uselection victory speech  shock claims ,AbusiveDT
trump s wife modeled in us prior to getting work visa  #election2016 #hillaryclinton #nevertrump,AbusiveDT
70 second youtube on evan mcmullin for president is awesome#election2016 #women #nevertrump #donaldtrump #college,AbusiveDT
the tolerant  peace loving left threatening a pres candidate with violence  typical of #hillaryclinton supporters  #reno #drainthesw,AbusiveDT
this has to happen nation wide#donaldtrump or bust ,AbusiveDT
i ve always had a poor impression of american #evangelicals but the fact that they are backing #donaldtrump is too shocking for words,AbusiveDT
#donaldtrump #star on #election eve  #msm told them to hate #trumpwillwin  via @youtube,AbusiveDT
regrannapp from pmwhiphop    this is #donaldtrump s core get out and #vote stop hate stop ,AbusiveDT
i ll leave this right here  #hillaryclinton #drainthesw #maga3x #hillaryforprison2017 #abovethelaw,AbusiveDT
#donaldtrump  vorl die f ,AbusiveDT
#trump #cnn #foxnews #breaking #drainthesw #hillaryclinton,AbusiveDT
i have a confession #donaldtrump #hilaryclinton #election2016 #brexit #hope #intheirprime ,AbusiveDT
thanks #donaldtrump for taking lil billy bush of the today show otherwise  go fuck yourself,AbusiveDT
#donaldtrump  piss or shit #hilaryclinton is this life s greatest mystery,AbusiveDT
you could compare the orange muppet with orangutan but that would be the insult to orangutans #donaldtrump,AbusiveDT
nice try #donaldtrump your #hitler propaganda almost worked untilu terribly offended  insulted #women in #america ,AbusiveDT
#uselections2016 investors are losing more sleep over europe than #donaldtrump gadfly  ,AbusiveDT
  #hillaryclinton sends paid gun men to kill #trump #drainthesw   #democrat democrats @fbi @newyorkfbi @byronyork,AbusiveDT
check out #stereotypicaltrump and hear #donaldtrump contradict himself in stereo ,AbusiveDT
#electionday ironic that the very people that was against obama in his 2 terms are running for his spot #hilaryclinton #donaldtrump ,AbusiveDT
people are tired of being ripped off #donaldtrumpripped off by people like you pay ur dang #taxes you #taxevader cheat #cnn #vote #dnc#,AbusiveDT
if you don t vote then you can t bitch about the outcome #vote2016 #letsmakeamericagreatagain #donaldtrump,AbusiveDT
@seanhannity @chrisantenucci everyone knows you are a coward as well as a partisan liar and con artist for #donaldtrump #tcot #p2,AbusiveDT
spoken like a true war monger and moron  you must be a pal of @teamcavuto @lizclaman #drainthesw,AbusiveDT
omg a murder confection  #dncleak2 #wikileaks #infowars #donaldtrump ,AbusiveDT
and #donaldtrump is the devil in human skin  a blonde wig ,AbusiveDT
#latinoswithtrump #drainthesw,AbusiveDT
if the location of any victim of abuse running from abuser is revealed by #donaldtrump voter vigilantes  video pix lawsuits must follow,AbusiveDT
wen u get a song stuck in ur head #donaldtrump #tameimpala #music #comedy #loop #ed vine by @vinelifeboat ,AbusiveDT
will #donaldtrump lose this election#willdonaldtrumploseelection #myvote2016   #election2016   #voted #postvotingstressrelief,AbusiveDT
must hear i experienced #stereotypicaltrump and heard #donaldtrump loud and clear but i m still confused listen ,AbusiveDT
if everyone gets a small loan of a million dollar noone would be poor #donaldtrump #logic #presidentialelection,AbusiveDT
dear america please try to not fuck yourself today #electionday #election2016 #myvote2016 #vote2016 #voted #hilaryclinton #donaldtrump,AbusiveDT
watch youtube of lyindonald hating guns but loving hillary abortion  obamacare #nevertrump #donaldtrump #nra #2a,AbusiveDT
if you re a #donaldtrump follower obviously the polls are all wrong the media are lying hacks and the election is fully rigged,AbusiveDT
@slandinsocal    i hope your back  #doj #fbi  n#voterfraud #perjury #nastywoman #hillaryclinton #minorities  #nevertrump #erikprince,AbusiveDT
trumpchain revealed the man behind the #blockchain parody  coindesk #bitcoin #donaldtrump  ,AbusiveDT
illuminating sobering #donaldtrump success reveals a frightening weakness in american #democracy  via @voxdotcom,AbusiveDT
excellent #nevertrump uses the hamilton rule to save conservatism   #donaldtrump #cruzcrew,AbusiveDT
it s crazy the new #toblerone has more valid points than #donaldtrump whole caign by #benwildart,AbusiveDT
#donaldtrump cofuses me when he seems to be being nice i can t tell if he s  actually being sly  am i paranoid or ,AbusiveDT
guess who i m not voting for today #hilaryclinton  #donaldtrump now go cry how i wasted my vote,AbusiveDT
relevant indeed #hillaryclinton #strongertogether #nevertrump,AbusiveDT
a vote for #donaldtrump is a vote for a #totalitarian #dictatorship of an over hyped madman #uspresidentialelection ,AbusiveDT
#donaldtrump pledged to help the cuban fight against oppression that s rich when his caign is based around oppressive policies,AbusiveDT
#donaldtrump s insufferable bigotry has made many marginalized groups #strongertogether the irony is kind of cool,AbusiveDT
every person with disability who are voting in american #election2016  remember #donaldtrump did mock a reporter with disability,AbusiveDT
#donaldtrump and a world of distrust by janine r wedel via @prosyn  #electionday,AbusiveDT
i coughed so hard i farted and almost crapped myself all from laughing at a #donaldtrump joke worth it,AbusiveDT
#donaldtrump thinks climate change is fake and a conspiracy created by china #election2016,AbusiveDT
omg     a murder confection      ???n#dncleak2 #wikileaks #infowars #donaldtrump,AbusiveDT
omg #nevertrump and the republicans will do anything to win this election #hillaryclinton,AbusiveDT
worst candidates in #usa history zero plan #trump  corrupt #hillary #electionday #2016election we ll be in a dark ,AbusiveDT
i m voting throwing away my vote on johnson #hilaryclinton is a crook  #donaldtrump is her manager #electionday ,AbusiveDT
well #hillaryclinton damn sure isnt our government needs an #enema #drainthesw #youcanthandlethetruth when,AbusiveDT
does #donaldtrump s outrageous treatment of a child with cerebral palsy remind you of something else ,AbusiveDT
when you look at the ballot and realize that it wasn t a cruel joke #donaldtrump and ,AbusiveDT
#johnkasich #nevertrump #vote #election2016 #electioncoverage #republicansagainsttrump #hillaryclinton #donaldtrump,AbusiveDT
#election #usa entre caricature et milliardaire du peuple qui se cache derri #donaldtrump  #portrait ,AbusiveDT
breaking news @msnbc and @hardball calls the race for hillary   #riggedelection #donaldtrump,AbusiveDT
#georgewill  #nevertrump #vote #election2016  #republicansagainsttrump #hillaryclinton,AbusiveDT
"lass die amis ruhig #donaldtrump w kann ich sp wenigstens ""habicheuchdochgesagt"" sagen  #uswahlen #wahlusa",AbusiveDT
omg  #nevertrump and the republicans will do anything to win this election  #hillaryclinton,AbusiveDT
#donaldtrump has crossed the line who the hell is beyonsee ,AbusiveDT
presidential election and chill tonight anyone #hilaryclinton #donaldtrump,AbusiveDT
@waitressrants @dmregister does #donaldtrump have a sister same pout and everything #trumpsacunt #uselection2016,AbusiveDT
@waynedupreeshow  #hillaryclinton #nevertrump but he is #badsanta2 #yarn,AbusiveDT
vote 2 end #hillaryclinton corruption vote 4 change vote 2 make america great again #riggedsystem #resigncomey #drainthesw #married2med,AbusiveDT
#donaldtrump will seek refuge in the #cowardscastle and blame everyone elsehe has no #guts only a #loudmouth ,AbusiveDT
@natman2939 @bloodyelbow can you read 9 of the most outrageous things #donaldtrump has said about latinos ,AbusiveDT
#donaldtrump seine zollpl k 5 millionen jobs kosten  und die #usa in die rezession st #trump ,AbusiveDT
any questions12 women have come forth charging #donaldtrump w  being a sexual predator  rape of a 13year old gi ,AbusiveDT
@cnn how does @donlemon @ac360 @wolfblitzer @erinburnett miss #trumpaffair #karenmcdougal that @time @insideedition ,AbusiveDT
#donaldtrump tried to declare #independenceday  he s definitely stealing lines from #brexit caign at this point,AbusiveDT
rip hillary clinton #electionday #myvote2016 #donaldtrump #buildthatwall ,AbusiveDT
@foxnews @realdonaldtrump how much did #hillaryclinton pay the guy? #drainthesw,AbusiveDT
#donaldtrump final caign ad blasted as #antisemitic  #election2016 #alfranken #electionnight #nyc #manhattan,AbusiveDT
millennials please vote you can help crush the lying ignorant racist xenophbic sexual assaulter #donaldtrump,AbusiveDT
the lesser of 2 evils #donaldtrump #hilaryclinton which nightmare candidate will come out victorious #theremaybetroublesahead,AbusiveDT
trumpchain revealed the man behind the blockchain parody   #news #donaldtrump #politics,AbusiveDT
don t vote for #donaldtrump he s a evil uneducated moron he will make your country worse don t waste your vote on a useless pig,AbusiveDT
these celebs would be directly affected by #donaldtrump s racist policies  because they re all muslim election d ,AbusiveDT
let the record show that @chrisloesch approves of a #hillaryclinton presidency #nevertrump,AbusiveDT
before i head to bed    #nevertrump #berniesanders #hillaryclinton #votehoney #election2016 #msnbc,AbusiveDT
  #hillaryclinton sends paid gun men to kill #trump #drainthesw  #democrat democrats @fbi @lifeinsota @ginlefebvre,AbusiveDT
#electionday i did my part for the world children  future generations with my vote i denounce  reject everything #donaldtrump stands for,AbusiveDT
thunder star #eneskanter cracks a joke about #donaldtrump hair  ,AbusiveDT
@jacobsberg @mangacritic @thedailybeast i m old white and a bundt cake preferred gender and i fear a #donaldtrump presidency,AbusiveDT
#donaldtrump not a dictator and neither am i #hunsen says  #cambodia,AbusiveDT
fuck #donaldtrump  #imvotingbecause,AbusiveDT
if the us vote for #hillary how long will #donaldtrump protest the result #election2016,AbusiveDT
disabled boy gets booed out of #donaldtrump rally meets #obama ,AbusiveDT
#drainthesw  we cannot afford to let #hillaryclinton to be #president  she is  corrupt and we don t need 4 more yrs  of #obamacare ,AbusiveDT
bhuvi more #uselections2016 #donaldtrump victory is negative for #india volatility will shoot up  ,AbusiveDT
@newday @cnn today #america votes not only for president #donaldtrump but to deliver a message to the #media that they totally suck,AbusiveDT
my nerves hurt and lately i m on edgegrabbed donald trump and ripped out his blonde wig fuck you#donaldtrump,AbusiveDT
#donaldtrump will end #hillary s corruption #nbcnews #cbsnews #reuters #bernie #google #trump #bloomberg ,AbusiveDT
#donaldtrump #presedentialelection  disabled boy removed from rally and he feels he can speak for most americans,AbusiveDT
niggaz smoked hell kush talking bout voting for #donaldtrump ,AbusiveDT
that is why hillary  nobama are running scared this is exactly what @realdonaldtrump believes  so does the ameri ,AbusiveDT
#latinoswithhillary #latinovote #latinos #latinosconhillary #drainthesw #crookedhillary #imwither,AbusiveDT
another stupid #trump stunt to further con his gullible supporters he s so afraid of losing bigly to ,AbusiveDT
#election2016 #donaldtrump hillary clinton is the most corrupt person to seek the office  today is our independence day #quote,AbusiveDT
if your going to the #polls  please don t forget to listen to my funny #donaldtrump songlink ,AbusiveDT
they keep on #trump while lyin abt coming indictment disgusting @cnnbrk is one of the biggest probs w media ,AbusiveDT
@chriscuomo illegals robbing from u  meit is simple#donaldtrump is not against legal hispanicsstop the hate ,AbusiveDT
if you vote for #donaldtrump you re wrong #nevertrump #antitrump #notrump2016,AbusiveDT
truly terrifying similarities #donaldtrump #trump #hitler #fascist #racist #vote stop this menace ,AbusiveDT
donald trump criticized after calling tiananmen protests a  #donaldtrump,AbusiveDT
bug g #donaldtrump ,AbusiveDT
obama can yell and scream all he wants but if and i say if #donaldtrump wins don t be shocked either way we were supposed to,AbusiveDT
i m looking forward to #donaldtrump fading into the twitterverse where he will tweet madly at unseen demons he needs help #electionday,AbusiveDT
@realdonaldtrump #donaldtrump  you have been accussed of being crazy dangerous and even referred as hitler but you re none of those,AbusiveDT
jacob zuma nearly sold our country and all we can tweet about is #hilaryclinton   #donaldtrump mandela didn t die for this  #usadecides,AbusiveDT
democracy as we know it will be dead under this monster#donaldtrump #adumpthetrump ,AbusiveDT
surging themes last 60min concerning #hillaryclinton - #dncleak2 #drainthesw #spiritcooking,AbusiveDT
vote for the damn #flyingspaghettimonster in space for all i care just don t vote for #donaldtrump or #hilaryclinton,AbusiveDT
vote against the corrupt establishment   #virginia #colorado #nevada #northcarolina #donaldtrump #florida #arizona,AbusiveDT
is #donaldtrump the most hated man in the world,AbusiveDT
#donaldtrump running for president reminds of @narcosnetflix when pablo escobar runs for president except he wasn t as corrupt as donald,AbusiveDT
economic terrorists  narcissistic criminals #ccc  #bigleaguetruth to #drainthesw of the #clintoncrimecartel,AbusiveDT
gop rivals scramble to slow donald trump momentum as  #donaldtrump,AbusiveDT
#donaldtrump fuck you and everything you stand for,AbusiveDT
jon stewart crashes  the late show  to trash  that draftdodging little groundhog   #donaldtrump,AbusiveDT
  #hillaryclinton sends paid gun men to kill #trump #drainthesw   #democrat democrats @halsteadg048 @banks_joel,AbusiveDT
#donaldtrump shares image of jeb bush at sad lonely birthday ,AbusiveDT
#reno i forgot the #liberals sold their guns for dope  sex  why on earth would anyone try and kill #trump when ,AbusiveDT
an unfinished sketch of #trump i found in my #sketchbook #donaldtrump #election2016 ,AbusiveDT
 failed political establishment  has delivered nothing says #donaldtrump   @swamy39 #election2016,AbusiveDT
so true #electionday #election2016 #nevertrump #donaldtrump #women #utah #northcarolina #wisconsin #iowa #michigan,AbusiveDT
don t make the mistake of voting for the dipshit #trump #donaldtrump2016 #donaldtrump #tru  ,AbusiveDT
so #donaldtrump says this morning that the polls are wrong and the media lies #nothingchanges  #election2016 #electionday,AbusiveDT
#donaldtrump doesn t understand that to some he is the criminal alien invading this land #nodapl ,AbusiveDT
#election2016  if the usa elects #donaldtrump then it will be a global travesty wish he was up against #berniesanders2016 #feelthebern,AbusiveDT
today a glass ceiling will shatter with a crash heard round the world  bye bye #donaldtrump #trumpforvillageidiot #lyingloser #lockhimup,AbusiveDT
@realdonaldtrump we will end all the corruption negativity lies and scams perpetrated by #donaldtrump by electing #hilaryclinton today,AbusiveDT
niet alleen amerika had #berniesanders nog nooit zo hard nodig ook de wereld #donaldtrump #hilaryclinton,AbusiveDT
@2peter57 @angelarye @cnnpolitics @bakarisellers @realdonaldtrump @cnn don t put this in cnn it s about hate and #donaldtrump is hate,AbusiveDT
#donaldtrump has shattered caign norms in damaging potentially lasting ways  # via @huffpostpol,AbusiveDT
i m not an american so i can t vote but from what we hear #donaldtrump is crazy #election2016,AbusiveDT
mad vr conservative  #uselection #election2016 #usa2016 #hillary #trump #donald #donaldtrump,AbusiveDT
don t vote for #donaldtrump he s a evil uneducated moron he will destroy your country don t waste your vote on a useless pig,AbusiveDT
#hoaxingmedia #shamethemedia disgraceful inciting violence against  @realdonaldtrump and his supporters ,AbusiveDT
alhoewel lijkt die wel op donald duck #donaldtrump #donaldduck #geenderdewereldoorloggraag ,AbusiveDT
#donaldtrump made his billions fleecing the working manhe screwed contractors  the #american people by not paying his taxes#uniteblue,AbusiveDT
#vaelection vote 4 hard working #donaldtrump  he ll bring back jobs jail hillclinton for email evidence  pedophilia,AbusiveDT
#uselections2016 why #donaldtrump s  american manus  politics will worry indoamericans #  ,AbusiveDT
#electionday #donaldtrump frantically tries to get into his #twitter accountif he can turn laptop on watch outif not he ll go #vote,AbusiveDT
@sttbs73 @realdonaldtrump dwl      perhaps that s why the rally ended  #nevertrump #hillaryclinton,AbusiveDT
if #donaldtrump wins  it s a fair election  if #hillaryclinton wins  it s rigged  really? #hypocrites #cultofdrones #nevertrump,AbusiveDT
#uselections2016 #donaldtrump victory is negative for #india volatility will shoot up ,AbusiveDT
#nastywomen  #iwillvote #hillaryclinton #nevertrump #debate #election2016 #politics #hillary,AbusiveDT
how sad even if #trump loses he will have left #america worse off for having run ,AbusiveDT
did #donaldtrump  just stage his own attempted assassination as a publicity stunt  via @dailynewsbin,AbusiveDT
#steviewonder makes a funny comparison about #voting for #donaldtrump  ,AbusiveDT
 tremendous waste of money energy and time  if i lose #donaldtrump ,AbusiveDT
#hillaryclinton #donaldtrump #mikepence #barackobama #2016election #nevertrump #2017president,AbusiveDT
vote hilary to make the dead zone prophecy come true #hillary #donaldtrump     #electionday ,AbusiveDT
we gon  take over the while these haters gettin  mad #donaldtrump,AbusiveDT
 @potus  @barackobama emailed #hillaryclinton on her private server and lied about it  - #drainthesw,AbusiveDT
like this is not controversial if this happened at a #donaldtrump rally imagine the criticism #electionday ,AbusiveDT
#crookedcomey #crookedhillary #clintonemails #hillaryclinton #hillary #imwither #strongertogether #drainthesw,AbusiveDT
@tpoliticmanager dream on  #jonestown member  #nevertrump #hillaryclinton   who s making the kool _aid? drink up ,AbusiveDT
see #donaldtrump supporters being objectivefair means a willingness 2 accept the many flaws in both yes he s less evil but evil is evil,AbusiveDT
if us election is dead heat will #donaldtrump  #hilaryclinton form a coalition and call it #trumpton ,AbusiveDT
and here we see #donaldtrump s stupidity i ve covered #hillary clinton s stupidity too much lately i think ,AbusiveDT
viendo a qui tenemos de presidente la verdad que gane #donaldtrump  me tiene sin cuidado #election2016 #eleccioneseeuu2016,AbusiveDT
i could see a #donaldtrump being elected just because of the amount of people who hate both candidates and so #vote for a third party,AbusiveDT
when u r casting your vote 4 the #presidentialelection remember #alecbaldwin the fake #donaldtrump spells his na ,AbusiveDT
#uselections2016 what will #donaldtrump do if he loses ,AbusiveDT
@slandinsocal i hope your back #doj #fbi  #voterfraud #perjury #nastywoman #hillaryclinton #minorities  #nevertrump #erikprince,AbusiveDT
a new style might be coming to the white house  #firstlady #trump #hillaryclinton #vote #donaldtrump #nevertrump,AbusiveDT
i tapped hilary by mistake  it s #trump all the way ,AbusiveDT
@washingtonpost had to go all the way to india to find someone worse than #donaldtrump #election2016,AbusiveDT
if you voted for #donaldtrump this is what you voted for and this shows me how much of a racist ,AbusiveDT
#donaldtrump i m so tired of hearing this white non college educated voter crap let s see howabout black  hispanic non college educated,AbusiveDT
and if only radical xenophobic misogynistic demagogues were allowed to vote #donaldtrump would get 100 of the vot ,AbusiveDT
the  has metastasized as #donaldtrump #jimmycarter diagnosed the cancer in our body politic in 1979 ,AbusiveDT
#israeltheregion #jewishtimes #donaldtrump #uselections #democratic competing claims of voter fraud intimidation ,AbusiveDT
watch new unstable racist pervert trump documentary last half best #women #donaldtrump #electionday #election2016  ,AbusiveDT
the #catholic church will not tell me how 2 cast my #vote the #catholic church hid sex offenders  now promotes offensive bigot #donaldtrump,AbusiveDT
donald trump lied again he thinks everyone is too stupid to realize the truth #donaldtrump #nevertrump,AbusiveDT
